"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"SH31",8.79,1.37846,4.5,3.281,8369.45,70.8263055524774,2.972786041,496.7719235,0.172153427,2.237815396,0.677692285,31.91938626,50.41988012,24.11293785,101.1538596,2.069334292,0.308604312,0.059677763,268.4049364,11.88310775,109.3663504,2.395479625,1.273591127,23.23751124,8.511568236,0.006251271,2.396492287,12.78934036,0.019228234,0.027451428,4.079335191,66.8101
"SH38",9.3,2.00141,5.48,3.1183,12450.4,82.2701,1.519021341,66.96098545,0.302053233,4.714034129,0.26358586,13.98946903,8.111066313,4.592554585,6.594487467,2.198706633,0.132889564,0.025695874,116.5258752,2.271883279,49.65035484,0.740333233,1.305317596,39.09162183,3.155769575,0.00082767,2.073499472,2.022173188,0.00218919,0.009896405,0.824019242,66.2263
"SH49",9.7,1.82778,5.59,3.0206,7874.21,89.0886,2.441737966,152.4472235,0.331345333,2.118790316,8.29300322,14.29750044,69.76770363,4.179989693,6.158973843,0.850726575,0.228989534,0.075848645,76.03966243,4.702898028,28.0713132,0.723535601,1.18805645,32.08999672,2.872275997,0.000753318,5.189744054,1.840514451,0.001992527,0.009007377,0.660525573,63.8523
"SH13",12.47,1.94922,8.51,2.9131,5573.19,70.4265,4.050038568,215.2182961,0.166339803,15.04926156,0.247849767,50.29583711,57.60228976,28.56030694,14.01966889,0.87889202,0.276565368,0.195583461,146.0823669,2.136251698,145.4613881,1.413902377,1.22739005,22.32788138,11.35642372,0.004334989,4.100165516,9.741226115,0.023917785,0.020892954,1.555468868,69.6418
"SA36",12.65,1.04507,0.13,3.1486,4493.39,92.3029,1.50120063,224.719922,0.073515186,11.2480901,0.620518083,37.5273328,42.40974915,21.75281937,4.555160075,0.884984021,0.211350853,0.024329305,70.66994481,5.844826039,95.16402577,0.8066238,1.23589765,26.40057081,6.889357534,0.000783653,2.399018246,6.921867032,0.012512583,0.00937009,0.572912957,65.3116587995242
"SH19",12.7,3.0756049835321,6.05,3.3036,13153.1,69.1221,3.231239127,512.6098403,0.492332166,1.660312453,0.813877008,94.52960743,89.48323249,63.42008275,27.73365947,0.935712638,0.28222031,0.307800987,405.0216755,10.62776345,43.21368966,4.388296752,1.306741165,33.0882624,22.87708509,0.00727361,11.0319812,16.03860139,0.032577115,0.078358182,3.058343141,65.2569
"SH48",12.93,1.51987,5.78,7.2047,17308.3,74.4021,1.172115418,165.095791,0.239647388,7.066243545,0.249677608,15.44778201,34.30961855,4.350225927,9.580252067,0.885373667,0.156838342,0.024340017,80.72546231,2.152006114,75.38892597,0.705346026,1.236441798,83.77020213,6.604815827,0.000783998,2.736437203,1.915472112,0.002073676,0.009374216,11.87449413,67.8362
"SA37",13.34,0.971729,6.6,4.8281,8345.65999999999,90.8136,2.584847867,96.30851691,0.353925146,18.9151634,0.356080385,29.40948166,10.95730859,27.11185384,8.525044139,1.262685101,0.160786231,0.034712775,125.7449277,3.069106478,138.5436946,1.164936071,1.763364662,8.943071358,4.263156007,0.001118107,3.110483564,2.731770989,0.020651456,0.013369138,1.387645195,65.5432
"SH30",13.6,4.02894,9.75,3.6649,17620.7,106.942985745957,1.378249339,82.8228588,0.688779117,14.32214117,0.583865456,15.04214966,18.43039609,13.64193769,14.66064045,1.01785761,0.173494685,0.093719656,187.6738334,2.474024112,88.1946204,1.919214127,1.42145824,7.209060464,3.436554198,0.000901312,3.643724464,5.315853359,0.034594503,0.010776938,2.045616248,64.4647
"SA47",14.1,2.4692,0.14,12.7913,12090.4,81.1135726244249,3.693795867,108.8453399,0.200012854,3.910256632,0.266547717,15.03763246,18.85246852,10.74173526,5.716172388,0.945196212,0.378325135,0.025984613,113.1141368,2.297411932,42.05092465,0.942651768,1.319985163,61.62272528,9.55218297,0.000836971,1.482371565,2.044895904,0.007498819,0.010007609,1.872210365,63.6063
