"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"SH11",25.11,9.20241,10.64,3.1522,26067.6,0.160937,0.009237054041,0.6096719036,0.000375605514,0.01738923972,0.001429735187,0.06821098024,0.08344477201,0.05848410312,0.06819490397,0.000904438046,0.000586771287,0.000450161334,0.6171598666,0.01314904012,0.2214674796,0.005231268416,0.00126306558,0.06794741031,0.0196984188,9.157711e-06,0.01105333883,0.03004072551,5.2976638e-05,6.8071076e-05,0.007741832819,76.6914
"SH41",25.16,8.5293,6.06,2.6426,14754,0.129682,0.004288923954,0.4204867541,0.000291107378,0.01689630094,0.000867303683,0.1315156927,0.06151133394,0.06996703349,0.02299771592,0.000722778368,0.001151134575,0.000178830684,0.5092270935,0.01577226853,0.2288560933,0.005618490717,0.002118554725,0.06223654008,0.01609782128,1.18486e-05,0.008369347529,0.02718106172,3.4150533e-05,9.7211358e-05,0.006004785334,68.7997
"HE29",25.233,10.93713903,17.391,1.996,23392.1674622348,0.1769175573,0.00347541,0.56411078,0.00118294,0.00128877,0.00188904,0.19048556,0.12683219,0.06952128,0.04919,0.00095752,0.00112521,0.00035978,0.57144429,0.01352669,0.03746132,0.00595524,0.00238922,0.114389,0.03944097,1.238e-05,0.01130751,0.02535326,3.754e-05,8.987e-05,0.00471772,66.60163584
"HE09",25.45,7.570990893,21.163,3.117,37102.612,0.1467647768,0.00591212,0.60684226,0.00093078,0.00142008,0.00279324,0.02429362,0.0713961,0.05169568,0.03836126,0.00051662,0.0006787,0.00024363,0.64014807,0.02595708,0.06841937,0.00599001,0.00183062,0.02210802,0.01237921,7.71e-06,0.0099201,0.01431301,6.022e-05,0.00010269,0.00663517,73.25995653
"HE10",25.975,13.16837575,27.172,5.575,29507.61569,0.1825896488,0.00650898,0.29762195,0.00054464,0.00085485,0.00996696,0.05005622,0.04355974,0.05666955,0.0282415,0.0009562,0.00090146,0.00015432,0.38227358,0.09183009,0.19370257,0.00337429,0.0016093,0.13165854,0.01535472,6.92e-06,0.00639402,0.01327523,4.583e-05,3.498e-05,0.00537969,75.61502371
"HE12",27.107,8.250220572,15.662,4.625,21332.63671,0.1264290999,0.00885015,0.41022886,0.00107466,0.00148977,0.00152368,0.09206854,0.10105838,0.08408975,0.09085911,0.004339,0.00085212,0.00023223,0.77104396,0.02517107,0.04791708,0.00704099,0.00412274,0.00595284,0.02064578,1.289e-05,0.01396897,0.025255,0.00011433,0.0001213,0.00891753,74.69332181
"HE08",27.172,10.92054106,18.213,3.734,26795.53804,0.1432335484,0.00763432,1.10938866,0.00128061,0.00110245,0.00087322,0.03124543,0.04423887,0.06318202,0.03248764,0.00053507,0.00118495,0.00014352,0.38954835,0.01115091,0.02535103,0.0032941,0.0009211,0.05053476,0.00962526,6.81e-06,0.00968353,0.01212537,4.974e-05,4.182e-05,0.00347572,72.38280584
"HE31",27.515,12.94029639,21.686,2.177,14308.75837,0.1510277325,0.00642798,0.92700842,0.00186338,0.00113214,0.00157798,0.07753923,0.11952725,0.06020344,0.03883441,0.00056646,0.00084223,0.0003177,0.49447332,0.01224045,0.02575469,0.00526502,0.00228015,0.07127291,0.02055952,1.163e-05,0.012185,0.01967394,4.853e-05,0.0001143,0.00503212,70.73902167
"SA08",27.53,7.57355,7.79,3.1606,23221.5,0.139205,0.007192316455,0.325975133,0.00062966265,0.004113317359,0.000902910992,0.03980562012,0.07354974809,0.03844892808,0.04948470272,0.000894729673,0.000414037165,0.000207346728,0.4732744608,0.009123167735,0.05898149999,0.004105983453,0.001249507646,0.03084825843,0.01254145351,6.07869e-06,0.007433904689,0.02512408528,2.6100399e-05,4.9828521e-05,0.005349673364,68.3488
"SA15",28.45,3.10134,21.99,9.432,63538.4,0.0652586,0.002390752927,0.1925865307,0.000166113883,0.007981918538,0.001173692712,0.1687968853,0.2694365533,0.0557453067,0.02239156178,0.000868969887,0.00078938108,0.000165637623,0.1994098421,0.02338844884,0.09922290514,0.001977163924,0.001213533597,0.5062820221,0.01865353804,3.42161e-06,0.00809276498,0.02980287494,2.9607348e-05,2.8702127e-05,0.002230378212,64.7285
"HE20",28.521,7.49393060174722,22.898,3.046,23147.7940893672,0.129229076689266,0.00707403,1.60680672,0.00086642,0.00132294,0.00154577,0.042858,0.07045267,0.05665457,0.03693806,0.00148819,0.00067692,0.00017095,0.5418504,0.01510485,0.05804304,0.00565368,0.00259244,0.08046953,0.01261951,9.19e-06,0.01228581,0.0249746,5.753e-05,7.23e-05,0.00758443,70.5214513562
"HE15",29.592,9.556987088,32.926,6.297,31330.29431,0.1732877292,0.01661724,0.39800617,0.00075883,0.00169751,0.00559984,0.0755178,0.11060822,0.10693279,0.08367459,0.00082441,0.00122668,0.00046592,0.98143001,0.05266654,0.10483308,0.00973453,0.00329235,0.06828081,0.02918671,1.352e-05,0.01152486,0.02193536,5.676e-05,0.0001345,0.00813546,73.44181613
"HE27",29.799,8.299592926,15.887,2.357,11858.10824,0.1300174881,0.00652746,1.27681598,0.000504,0.00071766,0.00127434,0.10773439,0.11087703,0.04758454,0.02169519,0.00047882,0.00085384,0.00019647,0.38844651,0.02504066,0.03447912,0.00409578,0.00152051,0.05294956,0.02076038,1.119e-05,0.00896402,0.0212386,2.597e-05,7.061e-05,0.00380633,70.84091674
"HE03",30.073,7.133520556,36.326,3.4,36038.27642,0.1413482881,0.0010539,0.40643001,0.00032581,0.00140074,0.00103761,0.0212488,0.05964266,0.0344638,0.02954538,0.00053638,0.00037736,9.865e-05,0.38524039,0.01712604,0.04305855,0.0033991,0.00160308,0.09998852,0.01340707,3.88e-06,0.00903932,0.01936998,4.076e-05,4.576e-05,0.00400645,73.2017658102461
"SH55",30.63,9.50201,10,9.3581,8395.61,0.150228,0.007416629642,0.231759815,0.000551726654,0.007281669943,0.0002967453,0.0193639167,0.009131448855,0.005170303839,0.01407122514,0.001052278881,0.000309915132,2.8928448e-05,0.1432374872,0.002557689108,0.07395659353,0.001228948035,0.001469528223,0.007452851952,0.003552769434,9.31792e-07,0.004629286765,0.01147062818,1.3290518e-05,1.1141385e-05,0.004350828969,64.1914
"AS06",30.801,10.08972432,18.587,2.353,25935.68502,0.1308090041,0.01283493,0.80985754,0.00065988,0.00081322,0.00084154,0.16758822,0.03471545,0.03669598,0.02543488,0.00157693,0.00068243,0.00011938,0.29953245,0.00826679,0.02042162,0.0030233,0.00121422,0.0040141,0.00951709,5.34e-06,0.00631478,0.00881765,3.939e-05,3.45e-05,0.00308675,70.76460866
"AS12",32.534,7.900685092,17.416,4.286,24317.00333,0.1179551375,0.00647367,0.29502483,0.00055051,0.00036654,0.0012464,0.03745877,0.05102575,0.02697576,0.01417202,0.00627573,0.00121343,3.935e-05,0.13597329,0.02119208,0.00591877,0.00130899,0.00043914,0.00585164,0.01120616,1.42e-06,0.00560218,0.00713993,4.881e-05,4.072e-05,0.00121194,71.99256629
"SA60",33.29,11.0023,9.44,13.7992,17854.183029144,0.20285,0.006106383943,0.07363941733,0.000204557191,0.001935778461,0.000315735264,0.003878825681,0.009715808198,0.005501173059,0.003853177233,0.001119618577,0.000198977405,3.0779699e-05,0.02758087785,0.002721366258,0.01965061313,0.000112639341,0.001563569438,0.007929790906,0.003780125907,9.91421e-07,0.000505935623,0.002422252029,2.622312e-06,1.1854369e-05,0.000428316286,76.1616
